scenario,text,labels,time_phrase,id
TRUONG_HOC,học bài môn toán trước ngày mai.,HOC_TAP,ngày mai,1
VAN_PHONG,thứ 7 soạn email dự án.,GUI_EMAIL,thứ 7,2
VAN_PHONG,cập nhật tiến độ dự án trước 8h.,THEO_DOI_CONG_VIEC,thứ 2,3
TRUONG_HOC,hoàn thành bài tập môn toán trước thứ 6.,NOP_BAI,thứ 2,4
VAN_PHONG,hôm nay phải theo dõi tiến độ kế hoạch.,THEO_DOI_CONG_VIEC,hôm nay,5
TRUONG_HOC,ngày mai có họp lớp bài tập nhóm.,HOP_LOP,ngày mai,6
CA_NHAN,chủ nhật phải mua bác sĩ.,MUA_SAM,chủ nhật,7
TRUONG_HOC,hoàn thành bài tập môn toán trước 8h.,NOP_BAI,chủ nhật,8
VAN_PHONG,thứ 5 có báo cáo tiến độ tài liệu.,THEO_DOI_CONG_VIEC,thứ 5,9
TRUONG_HOC,thứ 2 phải sinh hoạt lớp môn lập trình.,HOP_LOP,thứ 2,10
CA_NHAN,lịch hẹn quà sinh nhật vào thứ 3.,HEN_CA_NHAN,thứ 3,11
TRUONG_HOC,sinh hoạt lớp bài tập nhóm trước 8h.,HOP_LOP,ngày mai,12
TRUONG_HOC,thứ 6 học bài môn văn.,HOC_TAP,thứ 6,13
CA_NHAN,tối nay có đi gặp quà sinh nhật.,HEN_CA_NHAN,tối nay,14
TRUONG_HOC,tối nay thi cuối kỳ bài tập nhóm.,THI_CU,tối nay,15
VAN_PHONG,hôm nay có trả lời email dự án.,GUI_EMAIL,hôm nay,16
CA_NHAN,đặt mua đồ dùng cá nhân vào thứ 3.,MUA_SAM,thứ 3,17
CA_NHAN,nhắc đồ dùng cá nhân trước 10h.,NHAC_VIEC,thứ 4,18
VAN_PHONG,tối nay phải theo dõi tiến độ kế hoạch.,THEO_DOI_CONG_VIEC,tối nay,19
CA_NHAN,cuối tuần hẹn đồ dùng cá nhân.,HEN_CA_NHAN,cuối tuần,20
VAN_PHONG,cập nhật tiến độ tài liệu vào thứ 3.,THEO_DOI_CONG_VIEC,thứ 3,21
CA_NHAN,phải làm đồ dùng cá nhân vào thứ 4.,NHAC_VIEC,thứ 4,22
VAN_PHONG,ngày kia phải nộp báo cáo kế hoạch.,NOP_BAO_CAO,ngày kia,23
VAN_PHONG,thứ 3 báo cáo tiến độ kế hoạch.,THEO_DOI_CONG_VIEC,thứ 3,24
VAN_PHONG,chủ nhật có báo cáo tiến độ công việc.,THEO_DOI_CONG_VIEC,chủ nhật,25
VAN_PHONG,meeting tài liệu vào thứ 5.,HEN_LICH,thứ 5,26
TRUONG_HOC,hôm nay nộp bài tập môn tiếng Anh.,NOP_BAI,hôm nay,27
VAN_PHONG,thứ 4 theo dõi tiến độ dự án.,THEO_DOI_CONG_VIEC,thứ 4,28
VAN_PHONG,thứ 7 có trao đổi kế hoạch.,HEN_LICH,thứ 7,29
CA_NHAN,chủ nhật phải lịch hẹn bạn bè.,HEN_CA_NHAN,chủ nhật,30
CA_NHAN,thứ 4 nhớ quà sinh nhật.,NHAC_VIEC,thứ 4,31
VAN_PHONG,thứ 6 cập nhật tiến độ hợp đồng.,THEO_DOI_CONG_VIEC,thứ 6,32
VAN_PHONG,thứ 6 phải lịch hẹn công việc.,HEN_LICH,thứ 6,33
CA_NHAN,lịch hẹn quà sinh nhật trước 10h.,HEN_CA_NHAN,thứ 4,34
VAN_PHONG,chiều mai có soạn email dự án.,GUI_EMAIL,chiều mai,35
CA_NHAN,nhắc gia đình trước 10h.,NHAC_VIEC,tối nay,36
CA_NHAN,chủ nhật phải đi mua bạn bè.,MUA_SAM,chủ nhật,37
VAN_PHONG,báo cáo tiến độ kế hoạch vào thứ 2.,THEO_DOI_CONG_VIEC,thứ 2,38
TRUONG_HOC,thứ 6 phải nộp bài môn lập trình.,NOP_BAI,thứ 6,39
CA_NHAN,tối nay có đi mua đồ dùng cá nhân.,MUA_SAM,tối nay,40
TRUONG_HOC,thứ 2 phải nộp bài môn toán.,NOP_BAI,thứ 2,41
TRUONG_HOC,chủ nhật học bài bài tập nhóm.,HOC_TAP,chủ nhật,42
TRUONG_HOC,thứ 5 phải thi môn toán.,THI_CU,thứ 5,43
TRUONG_HOC,học bài môn lập trình vào ngày mai.,HOC_TAP,ngày mai,44
TRUONG_HOC,ngày kia họp lớp môn văn.,HOP_LOP,ngày kia,45
VAN_PHONG,báo cáo tiến độ kế hoạch trước ngày mai.,THEO_DOI_CONG_VIEC,chủ nhật,46
TRUONG_HOC,thứ 7 kiểm tra bài tập nhóm.,THI_CU,thứ 7,47
